Id|Description|Speaker|Text
FurySistersUnion01|Fury Sisters Union 01|Megaera|Io e le mie sorelle abbiamo avuto modo di discutere, e siamo giunte a un accordo, Zagreus. Come puoi vedere.
FurySistersUnion01|Fury Sisters Union 01|Alecto|Megera, Tissi, siete pronte?
FurySistersUnion01|Fury Sisters Union 01|Tisiphone|{#DialogueItalicFormat}Aaassassinoo{#PreviousFormat}!
FurySistersUnion01|Fury Sisters Union 01|Zagreus|Tre contro uno. Non mi pare tanto leale, tu che ne dici?
FurySistersUnion01|Fury Sisters Union 01|Megaera|La lealtà non c'entra più nulla, ormai. Ti uccideremo, costi quel che costi. Erinni! {#DialogueItalicFormat}Ora{#PreviousFormat}.
FurySisterUnionSingleSis01|Fury Sister Union Single Sis 01|Megaera|Hai visto, Aletto? Puntualissimo, proprio come avevo detto.
FurySisterUnionSingleSis01|Fury Sister Union Single Sis 01|Alecto|Megera, fallo {#DialogueItalicFormat}sanguinare{#PreviousFormat}!
Fury2SisterUnion01|Fury Sister Union 2 01|Alecto|Sei pronta, Megera? Tisifone? Andiamo.
Fury2SisterUnionSingleSis01|Fury Sister Union Single Sis 2 01|Alecto|Guardate un po', sorelle! È arrivato il dio della feccia. Mettiamoci al lavoro.
Fury2SisterUnionWithMeg01|Fury Sister Union With Meg 2 01|Alecto|{#DialogueItalicFormat}Ugh{#PreviousFormat}, ma {#DialogueItalicFormat}guardatelo{#PreviousFormat}! Quell'aria smargiassa, quella posa languida, {#DialogueItalicFormat}tutto quanto{#PreviousFormat}! Ti prego, dimmi che non hai un debole per questa feccia, sorella.
Fury2SisterUnionWithMeg01|Fury Sister Union With Meg 2 01|Megaera|Suvvia, Aletto. Quand'è stata l'ultima volta che abbiamo chiesto l'una l'approvazione dell'altra? E in ogni caso, purché lo uccidiamo, che t'importa?
Fury2SisterUnionWithMeg01|Fury Sister Union With Meg 2 01|Alecto|Sai, sorella? Non hai tutti i torti! Io non avrei saputo dirlo meglio. {#DialogueItalicFormat}Uccidiamolo ora{#PreviousFormat}!
