Id|Description|Speaker|Text
FurySistersUnion01|Fury Sisters Union 01|Megaera|我和我的姐妹谈过了，我们达成了一致协议，扎格列欧斯。如你所见。
FurySistersUnion01|Fury Sisters Union 01|Alecto|墨纪拉，提西，准备好了吗？
FurySistersUnion01|Fury Sisters Union 01|Tisiphone|{#DialogueItalicFormat}刽子手{#PreviousFormat}！
FurySistersUnion01|Fury Sisters Union 01|Zagreus|三个打一个。这样是不是不太符合体育精神？
FurySistersUnion01|Fury Sisters Union 01|Megaera|我们这边没人在乎什么体育精神。只要能杀死你就行了。厄里倪厄斯！{#DialogueItalicFormat}现在{#PreviousFormat}。
FurySisterUnionSingleSis02|Fury Sister Union Single Sis 02|Megaera|小心了，提西福涅。我好像找到了你的克星。
FurySisterUnionSingleSis02|Fury Sister Union Single Sis 02|Tisiphone|{#DialogueItalicFormat}杀{#PreviousFormat}…………手……
Fury3SisterUnionSingleSis01_A|Fury Sister Union Single Sis A 3 01|Tisiphone|{#DialogueItalicFormat}杀——手——{#PreviousFormat}！
Fury3FirstAppearance|Fury First Appearance 3|Tisiphone|{#DialogueItalicFormat}杀……杀手……
Fury3FirstAppearance|Fury First Appearance 3|Zagreus|你应该就是墨纪的姐妹之一吧！很高兴终于见到你了。我的名字是扎格列欧斯。不是{#DialogueItalicFormat}杀手{#PreviousFormat}。绝对不是。
Fury3FirstAppearance|Fury First Appearance 3|Tisiphone|杀手……{#DialogueItalicFormat}杀——手————！
Fury3FirstAppearance|Fury First Appearance 3|Zagreus|{#DialogueItalicFormat}呃{#PreviousFormat}……你听我说，我确实做过一些不好的事，但是我确定一定以及肯定，我没有杀过任何人。
Fury3FirstAppearance|Fury First Appearance 3|Tisiphone|{#DialogueItalicFormat}杀——手————！
Fury3PostEnding01|Fury Post Ending 3 01|Zagreus|我这次是来执行公务的，提西福涅。所以，{#DialogueItalicFormat}呃{#PreviousFormat}……立正，站好！不过我猜，你这份工作的重点就是无论如何都要阻止我，是这样的吧？
Fury3PostEnding01|Fury Post Ending 3 01|Tisiphone|嗯呃呃，杀呃——{#DialogueItalicFormat}杀啊啊手呃呃呃{#PreviousFormat}……
Fury3PostEpilogue01|Fury Post Epilogue 3 01|Zagreus|哦，圣殿里举行宴会的时候你没能赶回来，这真是太遗憾了，提西福涅。不过我猜，你也不喜欢那样的场合。不过阿瑞斯也参加了宴会，他肯定干过不少谋杀这类的事情，是吧？
Fury3PostEpilogue01|Fury Post Epilogue 3 01|Tisiphone|杀——手？杀手。{#DialogueItalicFormat}杀——手{#PreviousFormat}！
Fury3Encounter01|Fury Encounter 3 01|Tisiphone|杀…………手……？
Fury3Encounter01|Fury Encounter 3 01|Zagreus|{#DialogueItalicFormat}嗯{#PreviousFormat}……试试说不，好吗？不杀。不杀！
Fury3Encounter01|Fury Encounter 3 01|Tisiphone|{#DialogueItalicFormat}杀手…………{#PreviousFormat}
Fury3Encounter02|Fury Encounter 3 02|Tisiphone|杀…？杀，杀…！
Fury3Encounter02|Fury Encounter 3 02|Zagreus|我真的觉得我们可以换一个词。谢谢你？
Fury3Encounter02|Fury Encounter 3 02|Tisiphone|杀手……{#DialogueItalicFormat}杀手 {#PreviousFormat}！
Fury3Encounter03|Fury Encounter 3 03|Tisiphone|师……师……啊啊啊…………！
Fury3Encounter03|Fury Encounter 3 03|Zagreus|容我想想。杀？杀手？就这两个词。
Fury3Encounter03|Fury Encounter 3 03|Tisiphone|杀，杀手……杀手！！
Fury3Encounter04|Fury Encounter 3 04|Tisiphone|师……啊……杀…………
Fury3Encounter04|Fury Encounter 3 04|Zagreus|求求你，我真不是杀手，你不用老是这样说。
Fury3Encounter04|Fury Encounter 3 04|Tisiphone|杀手。杀手……
Fury3Encounter05|Fury Encounter 3 05|Tisiphone|杀……杀手，杀手 ，{#DialogueItalicFormat}杀手{#PreviousFormat}！
Fury3Encounter05|Fury Encounter 3 05|Zagreus|看样子确实是没法正常沟通了。对于接下来要发生的事情我很抱歉。
