Id|Description|Speaker|Text
FurySistersUnion01|Fury Sisters Union 01|Megaera|У меня была возможность поговорить с сёстрами, Загрей, и, как ты видишь, мы пришли к соглашению.
FurySistersUnion01|Fury Sisters Union 01|Alecto|Мегера, Тис, вы готовы?
FurySistersUnion01|Fury Sisters Union 01|Tisiphone|*Уби-и-ийца-а*!
FurySistersUnion01|Fury Sisters Union 01|Zagreus|Втроём против одного. Это совсем не похоже на честную игру, а?
FurySistersUnion01|Fury Sisters Union 01|Megaera|Нам давно уже не до игр. Мы уничтожим тебя, чего бы нам это ни стоило. Эринии! *Пора*.
FurySisterUnionSingleSis02|Fury Sister Union Single Sis 02|Megaera|Внимание, Тисифона. Кажется, я нашла для тебя убийцу.
FurySisterUnionSingleSis02|Fury Sister Union Single Sis 02|Tisiphone|*У-у-уби-и-ий*ств-о-о...
Fury3SisterUnionSingleSis01_A|Fury 3 Sister Union Single Sis 01 A|Tisiphone|*Ууу-би-ийца-а*!..
Fury3FirstAppearance|Fury 3 First Appearance|Tisiphone|*У-у-у-у... у-у-убийца...*
Fury3FirstAppearance|Fury 3 First Appearance|Zagreus|Эй, ты, должно быть, одна из сестер Мег! Приятно наконец познакомиться. Меня зовут Загрей. А не *Убийца*. Точно не так.
Fury3FirstAppearance|Fury 3 First Appearance|Tisiphone|Убийца... *у-у-уби-ийца-а-а-а!...*
Fury3FirstAppearance|Fury 3 First Appearance|Zagreus|Эм... Послушай, я совершал не совсем хорошие поступки, но я абсолютно уверен, что никого не убивал.
Fury3FirstAppearance|Fury 3 First Appearance|Tisiphone|*У-у-у-у-убийца-а-а-а-а!..*
Fury3PostEnding01|Fury 3 Post Ending 01|Zagreus|В этот раз я здесь по официальному поручению, Тисифона, поэтому, *эм*... посторонись! Хотя, полагаю, весь смысл этой работы в том, чтобы ты всё равно пыталась меня остановить, верно?
Fury3PostEnding01|Fury 3 Post Ending 01|Tisiphone|У-у-уби-и-ий*ца-а-а-а*...
Fury3PostEpilogue01|Fury 3 Post Epilogue 01|Zagreus|Ох, жаль, что ты не смогла заглянуть на пир, который мы устраивали в Доме, Тисифона. Хотя не думаю, что тебе бы понравилось там. Но, знаешь, там был Арес — наверняка он хоть кого-то да убивал, верно?
Fury3PostEpilogue01|Fury 3 Post Epilogue 01|Tisiphone|Уби-и-ийца-а? Уби-и-ить. *Уби-и-ить*!
Fury3Encounter01|Fury 3 Encounter 01|Tisiphone|У-у-уби-и-ий... ств-о-о?..
Fury3Encounter01|Fury 3 Encounter 01|Zagreus|*Кхм*... А может, всё-таки нет? Никаких убийств. Никаких убийств!
Fury3Encounter01|Fury 3 Encounter 01|Tisiphone|*У-у-уби-и-ийств-о-о...*
Fury3Encounter02|Fury 3 Encounter 02|Tisiphone|Убийство?.. Убийство. Уби-и-и-йство!..
Fury3Encounter02|Fury 3 Encounter 02|Zagreus|Может, мы всё-таки сменим тему. Пожалуйста?
