Id|Description|Speaker|Text
FurySistersUnion01|Fury Sisters Union 01|Megaera|Moje siostry i ja. Miałyśmy szansę porozmawiać i doszłyśmy do porozumienia, Zagreusie. Jak widzisz.
FurySistersUnion01|Fury Sisters Union 01|Alecto|Megajra, Tyz - gotowe?
FurySistersUnion01|Fury Sisters Union 01|Tisiphone|*Mmorrrderca*!
FurySistersUnion01|Fury Sisters Union 01|Zagreus|Trzy na jednego. Nie wydaje się to być zbyt sportową zagrywką.
FurySistersUnion01|Fury Sisters Union 01|Megaera|Wszystkie już dawno straciłyśmy ochotę na jakikolwiek sport. Zabijemy cię - niezależnie od tego, ile nas to będzie kosztować. Erynie! *Teraz*.
FurySisterUnionSingleSis02|Fury Sister Union Single Sis 02|Megaera|Uwaga, Tyzyfone. Chyba znalazłam dla ciebie mordercę.
FurySisterUnionSingleSis02|Fury Sister Union Single Sis 02|Tisiphone|*Mmmmorrrr*derrrstwooo...
Fury3SisterUnionSingleSis01_A|Fury 3 Sister Union Single Sis 01 A|Tisiphone|*Mmmoorrderrcaaa*...!
Fury3FirstAppearance|Fury 3 First Appearance|Tisiphone|*Mmmm... mmmorderca...*
Fury3FirstAppearance|Fury 3 First Appearance|Zagreus|Hej, musisz być jedną z sióstr Megajry! Miło cię wreszcie poznać. Nazywam się Zagreus. Nie *Morderca*. Zdecydowanie nie.
Fury3FirstAppearance|Fury 3 First Appearance|Tisiphone|Morderca... *mmmmmorderrcaaaaaa...!*
Fury3FirstAppearance|Fury 3 First Appearance|Zagreus|*Yyy*... słuchaj, może i robiłem rzeczy, które nie były zbyt przyjemne, ale jestem bardzo, ale to bardzo pewien, że nikogo nie zamordowałem.
Fury3FirstAppearance|Fury 3 First Appearance|Tisiphone|*Mmmmmmorderrrcaaaaaaa*...!
Fury3PostEnding01|Fury 3 Post Ending 01|Zagreus|Tym razem jestem tu w oficjalnych sprawach, Tyzyfone, więc, *uch*... odsuń się! Chociaż zgaduję, że cały sens tej pracy jest taki, że i tak będziesz próbować mnie powstrzymać, prawda?
Fury3PostEnding01|Fury 3 Post Ending 01|Tisiphone|Mmm, hrr-hrr-*hrrdderrrstwo*...
Fury3PostEpilogue01|Fury 3 Post Epilogue 01|Zagreus|Och, przykro mi, że nie mogłaś dotrzeć na tamtą ucztę w Domu, Tyzyfone. Chociaż nie wydaje mi się, żeby to było coś dla ciebie. W każdym razie, Ares tam był - on prawdopodobnie popełnił kilka morderstw, prawda?
Fury3PostEpilogue01|Fury 3 Post Epilogue 01|Tisiphone|Morrrddderrrca? Morrdderrstwo...! *Morrdderstwo*!
Fury3Encounter01|Fury 3 Encounter 01|Tisiphone|*Mmmmorrrr*... derstwo...?
Fury3Encounter01|Fury 3 Encounter 01|Zagreus|*Yyy*... a może jednak nie? Nie morderstwo. Nie morderstwo!
Fury3Encounter01|Fury 3 Encounter 01|Tisiphone|*Mmmmorrrderstwoooo....*
Fury3Encounter02|Fury 3 Encounter 02|Tisiphone|Morderstwo...? Morderstwo, morrrderca...!
Fury3Encounter02|Fury 3 Encounter 02|Zagreus|Naprawdę miałem nadzieję, że zmienimy temat. Proszę?
Fury3Encounter02|Fury 3 Encounter 02|Tisiphone|Moorderca... *mmmooorrrderca*!
Fury3Encounter03|Fury 3 Encounter 03|Tisiphone|Mmm... mmm.... mmmrrrr....!
Fury3Encounter03|Fury 3 Encounter 03|Zagreus|Niech zgadnę. Morderstwo? A może morderca? Jedno z tych dwóch.
Fury3Encounter03|Fury 3 Encounter 03|Tisiphone|Mmm, mmmorrderstwo... mmmorrderstwo!!
Fury3Encounter04|Fury 3 Encounter 04|Tisiphone|Mmmrrrrr... mmorrr, derrstwooo....
Fury3Encounter04|Fury 3 Encounter 04|Zagreus|Proszę, nie jestem mordercą, nie musisz tego robić.
Fury3Encounter04|Fury 3 Encounter 04|Tisiphone|Morderca. Morrrderrrcaaa.
Fury3Encounter05|Fury 3 Encounter 05|Tisiphone|Morderca.... morderstwo, morderstwo, *morderstwo*!
Fury3Encounter05|Fury 3 Encounter 05|Zagreus|Odnoszę wrażenie, że coś nie możemy się dogadać, czyż nie? Przykro mi, że musi tak być.
Fury3Encounter05|Fury 3 Encounter 05|Tisiphone|Morderca. *Morderstwooo*!!
Fury3Encounter06|Fury 3 Encounter 06|Tisiphone|Morderstwo? *Morderstwo*...? Morderstwo....
Fury3Encounter06|Fury 3 Encounter 06|Zagreus|Nie rozumiem. Ale nie jestem tym, za kogo mnie masz. Mój ojciec nasłał cię, żebyś mnie powstrzymała - to wszystko.
Fury3Encounter06|Fury 3 Encounter 06|Tisiphone|Morderca... morderca! *Morderca*!
Fury3Encounter07|Fury 3 Encounter 07|Tisiphone|Mrrr... morr.. derr... *morrderrstwo*!
Fury3Encounter07|Fury 3 Encounter 07|Zagreus|Nie morderstwo. Zagreus. Moje imię to Zagreus! Możesz to powiedzieć, Tyzyfone? Nie morderstwo. *Zagreus*!
Fury3Encounter07|Fury 3 Encounter 07|Tisiphone|Morr... derr... *zztwo*....
Fury3Encounter08|Fury 3 Encounter 08|Tisiphone|Mm, morr... derr.... ztwo!
Fury3Encounter08|Fury 3 Encounter 08|Zagreus|Naprawdę powiedziałaś *morderztwo*, czyż nie?! To postęp! Zagreus! Jestem Zagreus, nie jestem mordercą! Możesz powiedzieć Zagreus?
Fury3Encounter08|Fury 3 Encounter 08|Tisiphone|Derr... ztwo... zzaa... zzaa, *graaaaa*!
Fury3Encounter09|Fury 3 Encounter 09|Tisiphone|Zarr... zznn... zrrrggghh...!
Fury3Encounter09|Fury 3 Encounter 09|Zagreus|Pamiętasz mnie, Tyzyfone? Moje imię to Zagreus. Książę Podziemi? Jestem całkiem blisko z Megajrą, jak sądzę. Spróbujesz ponownie powiedzieć dla mnie Zagreus?
Fury3Encounter09|Fury 3 Encounter 09|Tisiphone|Zrrnngh... zzaaa... zzaa... gree... mrrsss...?
Fury3Encounter10|Fury 3 Encounter 10|Tisiphone|*Zzaaaaa... derrr... caa*... Zzaa... derr.
Fury3Encounter10|Fury 3 Encounter 10|Zagreus|Och, jesteś tak blisko, Tyzyfone! Pamiętasz, Zagreus? To ja. Nie jestem twoim wrogiem, wiesz, jeszcze tego nie zrozumiałaś? Jestem tylko Zagreusem!
Fury3Encounter10|Fury 3 Encounter 10|Tisiphone|...Zzzzzaaaaa... gree... usss.... Zzaagreeusss! *Zaagreuss*!!
Fury3Encounter11|Fury 3 Encounter 11|Tisiphone|*Zzzaaggreussss*.... mm... morrdercaa....
Fury3Encounter11|Fury 3 Encounter 11|Zagreus|Nie. Czekaj. Tylko ta pierwsza część. Nie morderca. Tylko Zagreus. Albo... zobaczmy, a może by tak... *wesoły*? Możesz powiedzieć *wesoły*?
Fury3Encounter11|Fury 3 Encounter 11|Tisiphone|Mmrrr... *Zzzrrderrrcaa*....
Fury3Encounter12|Fury 3 Encounter 12|Tisiphone|Morderrca... Zzaagreusss... *morrderrca*...
Fury3Encounter12|Fury 3 Encounter 12|Zagreus|*Yyy*, dobrze... spróbujmy ponownie z *wesoły*, co ty na to? Wesoły? Nie morderca, tylko wesoły. No dalej, teraz!
Fury3Encounter12|Fury 3 Encounter 12|Tisiphone|Morrderca... morderrca *Zzagreusss*!
Fury3Encounter13|Fury 3 Encounter 13|Tisiphone|Mmmorderr*caa*... znnnhh... zrrrnnggh...
Fury3Encounter13|Fury 3 Encounter 13|Zagreus|*Uuch*, wydaje mi się, że *wesoły *do ciebie nie pasuje. Chociaż, może próba zabicia mnie w ten sposób jakoś przybliża cię do tego stanu. Nauczyłaś się przynajmniej mojego imienia, to jest coś, prawda?
Fury3Encounter13|Fury 3 Encounter 13|Tisiphone|*Morrdercaa... Zzaagreusss*...
Fury3Encounter14|Fury 3 Encounter 14|Tisiphone|Mmmorrderrca...*morrdderrcaaa*....
Fury3Encounter14|Fury 3 Encounter 14|Zagreus|...Więc wracamy do punktu wyjścia. Słuchaj, po prostu próbowałem do ciebie jakoś dotrzeć z tym Zagreusem i wesołym. Ale jeśli cokolwiek z tego rozumiesz, Tyzyfone, to myślę, że jesteś w porządku taka, jaka jesteś. Przyjaciele?
Fury3Encounter14|Fury 3 Encounter 14|Tisiphone|...Zzrrngh... zrrnnggh... *zzrrdderrcaaa!*...
Fury3Encounter15|Fury 3 Encounter 15|Tisiphone|Zzz, zzaa... *Zaaggreus? *Mmorderrcaa?
Fury3Encounter15|Fury 3 Encounter 15|Zagreus|Hej, *uch*, czy przypadkiem zmieniłaś zdanie, odnośnie tej całej kwestii z *wesołym*? Tylko się upewniam.
Fury3Encounter15|Fury 3 Encounter 15|Tisiphone|Zagreuss *morderrrca*!
Fury3MiscStart01|Fury 3 Misc Start 01|Tisiphone|Mmmmm, mmm, mmrrrrr....
Fury3MiscStart02|Fury 3 Misc Start 02|Tisiphone|Mm, mmorrrderrrca.... Morderca!
Fury3MiscStart04|Fury 3 Misc Start 04|Tisiphone|Morrrrderrcaaa.... mmmorrrrderrrcaaa...!
Fury3MiscStart05|Fury 3 Misc Start 05|Tisiphone|Mmm, hrr-hrr-*Morrderrca*?
Fury3MiscStart06|Fury 3 Misc Start 06|Tisiphone|Morderstwo. Morderstwo. Morderstwo. *Morderstwo. Morderstwo*!
Fury3MiscStart07|Fury 3 Misc Start 07|Tisiphone|Morderca. Morderca...! *Morderca*!
Fury3MiscStart09|Fury 3 Misc Start 09|Tisiphone|Mmmmorderrrcaaaa...?
Fury3MiscStart13|Fury 3 Misc Start 13|Tisiphone|Morrrrderstwooo? Moorrrrrdeerrrstwoo....
Fury3MiscStart14|Fury 3 Misc Start 14|Tisiphone|Mmm... mmmrrrr... mrrrrr!
Fury3MiscStart15|Fury 3 Misc Start 15|Tisiphone|Mm, mmm, mmrrrnnggghh!
Fury3MiscStart16|Fury 3 Misc Start 16|Tisiphone|*Morderstwoooo*!
Fury3MiscStart17|Fury 3 Misc Start 17|Tisiphone|*Zzzaaa, zzz, zrnnghh... *moorrdercaa...!
Fury3MiscStart18|Fury 3 Misc Start 18|Tisiphone|Zz, zzzaggreuss.... *Zagreus*!
Fury3MiscStart19|Fury 3 Misc Start 19|Tisiphone|Zzzagreus? *Mmorddercaa Zaggreuss*!
Fury3MiscStart20|Fury 3 Misc Start 20|Tisiphone|Mmmorderrcaa...*Zzaaggreusss*...!
Fury3MiscStart22|Fury 3 Misc Start 22|Tisiphone|Zzhhrr, zzzrnn, *Zzzrrderca*...
Fury3MiscStart23|Fury 3 Misc Start 23|Tisiphone|Zagreuss. Zagreuss...! *Zagreuss*!
Fury3MiscStart24|Fury 3 Misc Start 24|Tisiphone|*Zzzaaagggreussss*....
Fury3MiscStart25|Fury 3 Misc Start 25|Tisiphone|*Zzzaaagggreussss*...?
Fury3MiscStart27|Fury 3 Misc Start 27|Tisiphone|*Zzzaaag*greusssss....
Fury3MiscStart28|Fury 3 Misc Start 28|Tisiphone|Zzagreuss? *Zzaaggreusss. *Morderrcaaa....
Fury3MiscStart29|Fury 3 Misc Start 29|Tisiphone|Zzz... zzuh, zzzrnnn! *Mor*dderrcaa!
Fury3MiscStart30|Fury 3 Misc Start 30|Tisiphone|Zz, zrrngh, *zzrraugghhh*!
Fury3MiscStart31|Fury 3 Misc Start 31|Tisiphone|*Zag*reussss!
Fury3MiscStart32|Fury 3 Misc Start 32|Tisiphone|Zzz*zaaaag*greusss....!
Fury3MiscStart33|Fury 3 Misc Start 33|Tisiphone|Zzzagreuss, *mmordercaa*!
